id,name,cost
231,"Накладка для Samsung Galaxy Tab A 8"" (2019) прозрачный", 599
232,Накладка для всех моделей голубой, 799
233,Накладка для всех моделей зеленый, 899
234,Накладка для всех моделей оранжевый, 899
235,Накладка для всех моделей розовый, 799
236,"Обложка для Apple iPad 10.2"" 2019 зеленый",4 999
237,"Обложка для Apple iPad 10.2"" 2019 розовый",4 999
238,"Обложка для Apple iPad 10.2"" 2019 синий",4 999
239,Обложка для Samsung Galaxy Tab S6 Lite голубой,6 299
240,Обложка для Samsung Galaxy Tab S6 Lite розовый,6 299
241,Обложка для Samsung Galaxy Tab S6 Lite серый,6 299
242,Обложка для Samsung Galaxy Tab S7 серый,6 599
243,Обложка для Samsung Galaxy Tab S7 черный,6 599
244,Обложка для Samsung Galaxy Tab S7+ черный,7 499
245,"Футляр/сумка для Apple iPad 10,2"" (2019), Apple iPad Pro 10.5"" (2017), Apple iPad Air 10.5"" (2019) серый",4 999
246,"Футляр/сумка для Apple iPad 10,2"" (2019), Apple iPad Pro 10.5"" (2017), Apple iPad Air 10.5"" (2019) синий",4 999
247,"Футляр/сумка для Apple iPad 10,2"" (2019), Apple iPad Pro 10.5"" (2017), Apple iPad Air 10.5"" (2019) черный",4 999
248,"Футляр/сумка для Apple iPad Pro 10.5"" (2017), Apple iPad Air 10.5"" (2019) коричневый",4 999
249,Футляр/сумка для всех моделей серый, 499
250,Футляр/сумка для всех моделей серый, 799
251,Футляр/сумка для всех моделей черный, 799
252,"Чехол-клавиатура для Apple iPad Pro 11"" (2020) черный",15 999
253,Чехол-клавиатура для Honor Pad V6 серый,7 999
254,Чехол-клавиатура для Huawei MatePad 10.4 серый,7 999
255,Чехол-клавиатура для Samsung Galaxy Tab S5e черный,8 999
256,Чехол-клавиатура для Samsung Galaxy Tab S6 серый,13 999
257,Чехол-клавиатура для Samsung Galaxy Tab S7 черный,14 999
258,Чехол-клавиатура для Samsung Galaxy Tab S7+ черный,16 999
259,"Чехол-клавиатура для всех моделей  10"" черный",4 999
260,"Чехол-книжка для Apple iPad 10.2"" 2019 серый",1 599
261,"Чехол-книжка для Apple iPad 10.2"" 2019 серый",1 199
262,"Чехол-книжка для Apple iPad 10.2"" 2019 черный",1 599
263,"Чехол-книжка для Apple iPad 10.2"" 2019 черный",1 199
